episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max,reward_smooth,loss_smooth,q_smooth,eps_smooth
1,6.0,420,,,,,,2.1785714285714284,0.0,1.0,,,,
2,5.0,980,,,,,,1.8428571428571427,0.0,1.0,,,,
3,7.0,1378,,,,,,2.291457286432161,0.0,1.0,,,,
4,8.0,2082,,,,,,2.132102272727273,0.0,1.0,,,,
5,11.0,2919,,,,,,2.3500597371565117,0.0,1.0,,,,
6,9.0,3439,,,,,,2.0538461538461537,0.0,1.0,,,,
7,7.0,4049,,,,,,2.0278688524590165,0.0,1.0,,,,
8,8.0,4556,,,,,,2.001972386587771,0.0,1.0,,,,
9,12.0,5390,,,,,,1.9016786570743405,0.0,1.0,,,,
10,12.0,6321,,,,,,2.070891514500537,0.0,1.0,,,,
11,15.0,7200,,,,,,2.2935153583617747,0.0,1.0,,,,
12,10.0,7921,,,,,,2.015256588072122,0.0,1.0,,,,
13,14.0,9316,,,,,,1.6480286738351255,0.0,1.0,,,,
14,12.0,10144,,0.22484195,0.52730036,0.6479364,0.9637408,1.8236714975845407,0.0,1.0,,,,
15,12.0,10931,,0.0684035,0.28302267,0.39101008,0.9620704,2.162642947903431,0.0,1.0,,,,
16,4.0,11434,,0.044261508,0.22814304,0.3242759,0.9597448,2.1868787276341948,0.0,1.0,,,,
17,10.0,12181,,0.036201783,0.20469394,0.2884549,0.9574912,2.1178045515394914,0.0,1.0,,,,
18,8.0,12764,,0.02948146,0.18793388,0.26792482,0.9551008,1.934819897084048,0.0,1.0,,,,
19,4.0,13299,,0.027090834,0.1787287,0.25685102,0.953092,2.147663551401869,0.0,1.0,,,,
20,12.0,14144,,0.026009578,0.17482439,0.25220934,0.950608,2.0414201183431957,0.0,1.0,,,,
21,8.0,14663,,0.022116732,0.16517434,0.23719078,0.9481528,1.978805394990366,0.0,1.0,,,,
22,5.0,15072,,0.027139222,0.1815038,0.27450317,0.9464824,2.1100244498777507,0.0,1.0,,,,
23,13.0,15871,,0.027147245,0.23905861,0.4264777,0.944308,1.9411764705882355,0.0,1.0,,,,
24,7.0,16382,,0.02505938,0.23340264,0.4099118,0.9419464,2.068493150684932,0.0,1.0,,,,
25,12.0,17039,,0.024105752,0.23375498,0.4092953,0.939844,2.2420091324200917,0.0,1.0,,,,
26,4.0,17390,,0.025297554,0.2436359,0.42440927,0.9380296,2.1424501424501425,0.0,1.0,,,,
27,9.0,18068,,0.023226183,0.2371928,0.41516253,0.9361792,2.225663716814159,0.0,1.0,,,,
28,18.0,19112,,0.02247903,0.23563738,0.4094996,0.9330832,1.975095785440613,0.0,1.0,,,,
29,10.0,19775,,0.020362882,0.23376818,0.40706414,0.9300088,1.8340874811463048,0.0,1.0,,,,
30,22.0,20891,,0.02536718,0.35218385,0.57254726,0.9268048,2.2240143369175627,0.0,1.0,,,,
31,11.0,21600,,0.024508722,0.38514632,0.6181757,0.9235216,1.7898448519040904,0.0,1.0,,,,
32,17.0,22592,,0.024295485,0.3937836,0.62570363,0.9204616,2.5413306451612905,0.0,1.0,,,,
33,11.0,23261,,0.024092248,0.3912531,0.6258241,0.9174664,2.409566517189836,0.0,1.0,,,,
34,9.0,23896,,0.02370164,0.39237455,0.6193326,0.9151192,2.1275590551181103,0.0,1.0,,,,
35,6.0,24430,,0.021744657,0.38668293,0.61527085,0.9130168,1.9812734082397003,0.0,1.0,,,,
36,9.0,25015,,0.022498004,0.39593768,0.6242813,0.9110008,1.9452991452991453,0.0,1.0,,,,
37,9.0,25514,,0.022494305,0.5022422,0.7503248,0.9090496,2.0601202404809618,0.0,1.0,,,,
38,12.0,26123,,0.021079201,0.49925414,0.7459737,0.9070552,2.037766830870279,0.0,1.0,,,,
39,11.0,27271,,0.02112998,0.498885,0.74318093,0.9038944,1.9006968641114983,0.0,1.0,,,,
40,7.0,27781,,0.021360341,0.5049561,0.75303787,0.9009064,2.0764705882352943,0.0,1.0,,,,
41,4.0,28303,,0.018792694,0.50189734,0.7454823,0.8990487999999999,2.0766283524904217,0.0,1.0,,,,
42,10.0,28981,,0.020945417,0.51024467,0.75771314,0.8968887999999999,1.7138643067846608,0.0,1.0,,,,
43,7.0,29636,,0.018608876,0.4982208,0.7420407,0.8944911999999999,2.070229007633588,0.0,1.0,,,,
44,9.0,30276,,0.02113699,0.5582207,0.80898523,0.8921656,2.3125,0.0,1.0,,,,
45,4.0,30660,,0.0207149,0.64278597,0.91022426,0.8903224000000001,2.184895833333333,0.0,1.0,,,,
46,11.0,31442,,0.019585801,0.6347862,0.9037334,0.8882199999999999,2.221227621483376,0.0,1.0,,,,
47,32.0,32847,,0.0203066,0.63737833,0.9030854,0.8842816,2.3601423487544486,0.0,1.0,,,,
48,11.0,33539,,0.019947065,0.6553051,0.9277947,0.8805088000000001,1.9508670520231213,0.0,1.0,,,,
49,8.0,34218,,0.019257324,0.6473378,0.920599,0.8780391999999999,2.117820324005891,0.0,1.0,,,,
50,4.0,34593,,0.018991955,0.639793,0.9083647,0.8761383999999999,2.082666666666667,0.0,1.0,,,,
51,4.0,35169,,0.019771755,0.69196725,0.96480805,0.8744248,2.020833333333333,0.0,1.0,,,,
52,12.0,35866,,0.018957209,0.8063822,1.1007788,0.8721352000000001,2.0588235294117645,0.0,1.0,,,,
53,5.0,36254,,0.024560314,0.82341516,1.1226065,0.8701840000000002,2.27319587628866,0.0,1.0,,,,
54,8.0,37165,,0.018911446,0.80719423,1.1031005,0.8678440000000001,1.7628979143798025,0.0,1.0,,,,
55,11.0,37856,,0.020784426,0.82192135,1.1216326,0.8649640000000002,1.995658465991317,0.0,1.0,,,,
56,7.0,38489,,0.01936919,0.8230276,1.1204652,0.8625808,1.7598736176935228,0.0,1.0,,,,
57,16.0,39391,,0.018663643,0.80652106,1.0971673,0.8598159999999999,1.7926829268292683,0.0,1.0,,,,
58,11.0,40053,,0.021025047,0.83111215,1.128896,0.8570008000000001,1.8141993957703928,0.0,1.0,,,,
59,3.0,40446,,0.02019551,0.94126326,1.2561631,0.8551000000000001,2.2748091603053435,0.0,1.0,,,,
60,12.0,41195,,0.020606074,0.9358645,1.2562231,0.8530479999999999,2.097463284379172,0.0,1.0,,,,
61,16.0,42009,,0.018866885,0.9304921,1.2432224,0.8502328,2.0626535626535625,0.0,1.0,,,,
62,9.0,42626,,0.020977011,0.9380935,1.2586892,0.8476552000000002,2.4230145867098867,0.0,1.0,,,,
63,12.0,43479,,0.01830371,0.93970716,1.2523032,0.8450127999999999,2.582649472450176,0.0,1.0,,,,
64,6.0,44157,,0.018098045,0.9317771,1.2491068,0.8422552,2.2404129793510323,0.0,1.0,,,,
65,8.0,44747,,0.019885296,0.94319826,1.2589624,0.8399728000000001,2.328813559322034,0.0,1.0,,,,
66,23.0,46095,,0.019104041,0.9705526,1.2900988,0.8364879999999998,2.1275964391691398,0.0,1.0,,,,
67,14.0,47140,,0.018346583,1.001213,1.3261695,0.8321824,1.910047846889952,0.0,1.0,,,,
68,10.0,47920,,0.018764341,0.99695873,1.3183349,0.8288992000000001,2.2525641025641026,0.0,1.0,,,,
69,10.0,48560,,0.01804251,0.98805887,1.3109306,0.8263431999999999,2.353125,0.0,1.0,,,,
70,14.0,49362,,0.017281916,0.9927164,1.313441,0.8237439999999999,2.084788029925187,0.0,1.0,,,,
71,8.0,49952,,0.01927585,0.9931695,1.3157369,0.8212384,2.1779661016949152,0.0,1.0,,,,
72,7.0,50356,,0.01781273,1.1264966,1.4753276,0.8194528000000002,2.1386138613861387,0.0,1.0,,,,
73,14.0,51645,,0.018850585,1.1545043,1.5097815,0.8164,1.8510473235065945,0.0,1.0,,,,
74,13.0,52308,,0.020616775,1.1572672,1.5120772,0.8128864000000001,2.193061840120664,0.0,1.0,,,,
75,10.0,52996,,0.018764136,1.1672478,1.5233085,0.8104599999999998,2.369186046511628,0.0,1.0,,,,
76,8.0,53577,,0.018447313,1.1528773,1.502001,0.8081704000000001,1.8571428571428568,0.0,1.0,,,,
77,12.0,54303,,0.019917553,1.1673847,1.5226892,0.8058160000000002,1.7493112947658402,0.0,1.0,,,,
78,10.0,54924,,0.018085064,1.158687,1.5107316,0.8033968,2.1594202898550723,0.0,1.0,,,,
79,4.0,55294,,0.017225537,1.2347419,1.6020511,0.8016112000000001,2.2,0.0,1.0,,,,
80,6.0,56030,,0.017975712,1.2699504,1.6410502,0.7996168000000001,2.1440217391304346,0.0,1.0,,,,
81,10.0,56696,,0.017578488,1.2647511,1.6353515,0.7970967999999999,1.7297297297297298,0.0,1.0,,,,
82,4.0,57226,,0.018358076,1.252853,1.6182584,0.794944,2.2849056603773583,0.0,1.0,,,,
83,18.0,58318,,0.01800806,1.2687886,1.6389998,0.7920208,1.968864468864469,0.0,1.0,,,,
84,10.0,58966,,0.018246908,1.2746768,1.6455626,0.7888888000000001,1.8194444444444444,0.0,1.0,,,,
85,11.0,60153,,0.019389778,1.2828071,1.6563452,0.7855840000000001,2.486099410278012,0.0,1.0,,,,
86,6.0,60640,,0.019321218,1.3735682,1.7615812,0.7825744,2.139630390143737,0.0,1.0,,,,
87,10.0,61437,,0.018861556,1.3773743,1.7675698,0.7802631999999999,1.9761606022584688,0.0,1.0,,,,
88,13.0,62873,,0.0186306,1.393489,1.7878287,0.7762384,2.110724233983287,0.0,1.0,,,,
89,13.0,63952,,0.017951958,1.4140191,1.8122125,0.7717168,1.916589434661724,0.0,1.0,,,,
90,13.0,64605,,0.018380148,1.4069585,1.8029431,0.7685992,2.529862174578867,0.0,1.0,,,,
91,22.0,65646,,0.019300109,1.4744377,1.8838689,0.7655464000000001,2.4889529298751203,0.0,1.0,,,,
92,29.0,66981,,0.019501617,1.5119858,1.9314396,0.7612696,2.215730337078652,0.0,1.0,,,,
93,8.0,67499,,0.019197844,1.516524,1.9395182,0.757936,2.218146718146718,0.0,1.0,,,,
94,6.0,68180,,0.01807085,1.5179052,1.9366915,0.7557831999999999,2.102790014684288,0.0,1.0,,,,
95,18.0,69433,,0.01965663,1.5244638,1.9411534,0.7522984,2.221867517956904,0.0,1.0,,,,
96,22.0,70267,,0.018873233,1.589359,2.0203183,0.7485400000000001,2.3513189448441247,0.0,1.0,,,,
97,6.0,70898,,0.020917304,1.6804004,2.1259313,0.7459048,1.9445324881141048,0.0,1.0,,,,
98,9.0,71560,,0.020114554,1.6927657,2.1407986,0.7435792,2.270392749244713,0.0,1.0,,,,
99,10.0,72240,,0.018137434,1.6828222,2.129229,0.7411672,2.572058823529412,0.0,1.0,,,,
100,7.0,72933,,0.018679375,1.6862711,2.133086,0.7386904,1.7402597402597402,0.0,1.0,10.44,,,
101,6.0,73484,,0.018623415,1.6785439,2.1210198,0.7364512,2.092558983666062,0.0,1.0,10.44,,,
102,10.0,74166,,0.019843483,1.680271,2.1220353,0.7342335999999999,2.3284457478005867,0.0,1.0,10.49,,,
103,10.0,74838,,0.0182185,1.6797894,2.1248257,0.7317927999999999,2.1592261904761907,0.0,1.0,10.52,,,
104,12.0,75655,,0.018380888,1.7720517,2.2364264,0.7291143999999999,2.0171358629130967,0.0,1.0,10.56,,,
105,9.0,76138,,0.020290429,1.7867367,2.2465787,0.7267744000000002,2.1055900621118013,0.0,1.0,10.54,,,
106,16.0,77104,,0.01793291,1.781541,2.2447035,0.724168,2.296066252587992,0.0,1.0,10.61,,,
107,10.0,77890,,0.017785309,1.7752918,2.2318418,0.7210143999999999,2.22264631043257,0.0,1.0,10.64,,,
108,16.0,78864,,0.018635385,1.7752429,2.2327147,0.7178464,1.6663244353182751,0.0,1.0,10.72,,,
109,12.0,79607,,0.019124074,1.7826443,2.2428238,0.7147576,2.0969044414535665,0.0,1.0,10.72,,,
110,7.0,80217,,0.017886972,1.8099972,2.2737043,0.7123168,1.8672131147540985,0.0,1.0,10.67,,,
111,12.0,81019,,0.01899032,1.9169787,2.4020832,0.7097751999999999,1.6321695760598505,0.0,1.0,10.64,,,
112,9.0,81783,,0.018327069,1.912169,2.396506,0.70696,2.256544502617801,0.0,1.0,10.63,,,
113,5.0,82196,,0.018703626,1.9062138,2.394312,0.7048432000000001,2.2179176755447942,0.0,1.0,10.54,0.023211883050000003,1.2744996987000001,0.8391590560000001
114,7.0,82707,,0.018836025,1.9163005,2.3976502,0.70318,2.162426614481409,0.0,1.0,10.49,0.021151823799999997,1.2919968366999999,0.8365534480000001
115,11.0,83329,,0.019000383,1.9024194,2.3828351,0.7011352,2.463022508038585,0.0,1.0,10.48,0.02065779263,1.3119150869,0.8339440960000001
116,7.0,83765,,0.017206628,1.9025518,2.3808014,0.6992272,2.268348623853211,0.0,1.0,10.51,0.02038724383,1.3324803419,0.83133892
117,11.0,84533,,0.016156744,1.9242972,2.406275,0.69706,2.203125,0.0,1.0,10.52,0.020186793439999996,1.3536585429,0.828734608
118,10.0,85442,,0.016786974,1.93191,2.4159539,0.6940432000000001,1.8965896589658968,0.0,1.0,10.54,0.02005984858,1.3751388337000001,0.8261240320000001
119,16.0,86388,,0.018107496,1.9621489,2.450903,0.6907095999999999,1.5602536997885834,0.0,1.0,10.66,0.019970015200000003,1.3970793535,0.8235002080000001
120,10.0,87443,,0.018246919,1.9697975,2.459066,0.6871096,2.4265402843601898,0.0,1.0,10.64,0.01989238861,1.4191479201,0.8208652240000001
121,21.0,88508,,0.017825674,1.9773465,2.468772,0.6832936,1.8056338028169012,0.0,1.0,10.77,0.01984947803,1.4414637323,0.818216632
122,4.0,89166,,0.016899318,1.96969,2.4601488,0.6801904,2.153495440729483,0.0,1.0,10.76,0.01974707899,1.4633201886,0.8155537120000002
123,8.0,89649,,0.017282704,1.9730027,2.4631243,0.6781312,1.8923395445134576,0.0,1.0,10.71,0.01964843358,1.4836866545999998,0.812891944
124,5.0,90030,,0.018393736,1.970009,2.4613974,0.6765760000000001,2.2335958005249346,0.0,1.0,10.69,0.01958177714,1.5042015106,0.81023824
125,3.0,90543,,0.018653164,2.0389962,2.5378237,0.6749704000000001,2.3508771929824563,0.0,1.0,10.6,0.01952725126,1.5254867946,0.8075895040000001
126,7.0,90994,,0.021262031,2.0315008,2.5304089,0.6732352,2.161862527716186,0.0,1.0,10.63,0.01948689603,1.5465467909,0.8049415600000001
127,5.0,91349,,0.016636254,2.0215554,2.5198863,0.6717808000000001,2.047887323943662,0.0,1.0,10.59,0.01942099674,1.5675940286000003,0.802297576
128,7.0,91750,,0.016219512,2.0247664,2.5237513,0.67042,2.2768079800498757,0.0,1.0,10.48,0.01935840156,1.5887365456,0.7996709439999999
129,11.0,92458,,0.01850885,2.0093174,2.5043252,0.6684256000000001,2.378531073446328,0.0,1.0,10.49,0.01933986124,1.6097091562,0.797055112
130,13.0,93406,,0.018066712,2.0305784,2.5330324,0.6654448000000002,1.9556962025316456,0.0,1.0,10.4,0.01926685656,1.6293140076000001,0.7944415120000001
131,8.0,94027,,0.018320167,2.0397716,2.5416558,0.6626224,1.932367149758454,0.0,1.0,10.37,0.019204971010000002,1.6485488086000002,0.7918325199999999
132,7.0,94576,,0.017184472,2.0614882,2.5695822,0.66052,2.180327868852459,0.0,1.0,10.27,0.01913386088,1.6679875943,0.789233104
133,10.0,95347,,0.020027636,2.1138086,2.636558,0.6581440000000001,2.476005188067445,0.0,1.0,10.26,0.01909321476,1.6880949333000002,0.7866398799999998
134,5.0,95739,,0.018284997,2.1227171,2.6453228,0.6560488000000001,2.114795918367347,0.0,1.0,10.22,0.01903904833,1.7083548353,0.784049176
135,14.0,96556,,0.016637066,2.122332,2.6415381,0.6538744000000001,2.0281517747858016,0.0,1.0,10.3,0.018987972420000002,1.7286175078,0.7814577519999999
136,8.0,97281,,0.018979203,2.1290936,2.646582,0.6510952,2.208275862068965,0.0,1.0,10.29,0.01895278441,1.7488405148000001,0.7788586959999999
137,6.0,97827,,0.01710747,2.1089878,2.6212347,0.6488056000000001,1.794871794871795,0.0,1.0,10.26,0.018898916060000003,1.7675496138,0.7762562559999999
138,12.0,98643,,0.01853971,2.1161034,2.6279142,0.6463576,2.400735294117647,0.0,1.0,10.26,0.018873521150000003,1.7863690188,0.7736492800000001
139,10.0,99424,,0.016987514,2.1138463,2.6259859,0.6434848,1.7221510883482714,0.0,1.0,10.25,0.018832096490000002,1.8051970685,0.7710451839999999
140,14.0,100201,,0.01661442,2.1382053,2.6550562,0.6406767999999999,1.673101673101673,0.0,1.0,10.32,0.018784637280000002,1.8242172517999997,0.768442888
141,12.0,100825,,0.01637868,2.1729536,2.6958494,0.6381496000000001,1.796474358974359,0.0,1.0,10.4,0.01876049714,1.8437209228,0.7658338959999998
142,23.0,101681,,0.01566659,2.160162,2.6806667,0.6354855999999999,2.996495327102804,0.0,1.0,10.53,0.018707708870000003,1.8629504584,0.763219864
143,6.0,102345,,0.021025874,2.1728742,2.6968696,0.6327496,1.9969879518072289,0.0,1.0,10.52,0.01873187885,1.8824987474,0.7606024480000001
144,18.0,103185,,0.017944125,2.172657,2.696373,0.6300423999999999,2.3119047619047617,0.0,1.0,10.61,0.0186999502,1.9013726251,0.757981216
145,7.0,103737,,0.017219936,2.1776664,2.7020621,0.6275368,1.920289855072464,0.0,1.0,10.64,0.01866500056,1.9192910035,0.75535336
146,9.0,104382,,0.016308624,2.1731598,2.6952333,0.625384,2.310077519379845,0.0,1.0,10.62,0.01863222879,1.9372060025,0.752725
147,20.0,105282,,0.019320143,2.2003183,2.7253716,0.6226048000000001,2.216666666666667,0.0,1.0,10.5,0.01862236422,1.9554288645,0.7501082320000001
148,5.0,105650,,0.01666311,2.2579417,2.794638,0.6203224,2.2255434782608696,0.0,1.0,10.44,0.01858952467,1.9740972975,0.7475063680000001
149,11.0,106340,,0.019047415,2.2445314,2.784809,0.6184215999999999,2.1159420289855078,0.0,1.0,10.47,0.018587425579999997,1.9927393974999998,0.744910192
150,13.0,107158,,0.015921129,2.250876,2.7879853,0.6157072,2.399755501222494,0.0,1.0,10.56,0.01855671732,2.0115356035,0.74230588
151,6.0,107817,,0.017140545,2.2379467,2.771579,0.6130431999999999,2.520485584218513,0.0,1.0,10.58,0.01853040522,2.029603313,0.7396920640000001
152,15.0,108566,,0.0152861625,2.2468994,2.7835484,0.6105088,2.054739652870494,0.0,1.0,10.61,0.018493694755,2.046431009,0.7370758
153,14.0,109746,,0.017285146,2.243916,2.7762833,0.6070384,2.120338983050848,0.0,1.0,10.7,0.018420943075,2.062967777,0.734444344
154,10.0,110365,,0.017892659,2.2780626,2.818963,0.6037984,1.6655896607431342,0.0,1.0,10.72,0.018410755205,2.0801264020000003,0.7318038880000001
