episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max
1,6.0,420,,,,,,2.1785714285714284,0.0,1.0
2,5.0,980,,,,,,1.8428571428571427,0.0,1.0
3,7.0,1378,,,,,,2.291457286432161,0.0,1.0
4,8.0,2082,,,,,,2.132102272727273,0.0,1.0
5,11.0,2919,,,,,,2.3500597371565113,0.0,1.0
6,9.0,3439,,,,,,2.0538461538461537,0.0,1.0
7,7.0,3968,,,,,,1.945179584120983,0.0,1.0
8,22.0,5153,,,,,,2.3029535864978903,0.0,1.0
9,4.0,5556,,,,,,2.2853598014888337,0.0,1.0
10,14.0,6265,,,,,,2.629055007052186,0.0,1.0
11,14.0,7048,,,,,,2.077905491698595,0.0,1.0
12,8.0,7703,,,,,,2.1038167938931296,0.0,1.0
13,10.0,8398,,,,,,2.579856115107914,0.0,1.0
14,6.0,8903,,,,,,1.9821782178217822,0.0,1.0
15,11.0,9513,,,,,,2.1590163934426227,0.0,1.0
16,15.0,10549,,0.13152991,0.39210618,0.5550269,0.9630063999999999,2.5193050193050195,0.0,1.0
17,13.0,11450,,0.05572097,0.25414407,0.3452533,0.9604,1.7702552719200888,0.0,1.0
18,4.0,12031,,0.039588016,0.21571232,0.30206668,0.9577359999999999,2.2237521514629948,0.0,1.0
19,13.0,12946,,0.03400558,0.1994446,0.27850613,0.9550432000000001,2.466666666666667,0.0,1.0
20,17.0,13823,,0.028022274,0.18554418,0.26194647,0.9518175999999999,2.063854047890536,0.0,1.0
21,9.0,14205,,0.024282947,0.17365934,0.24090564,0.9495496000000001,2.269633507853403,0.0,1.0
22,4.0,14826,,0.025625093,0.17476265,0.24633105,0.9477424,2.418679549114332,0.0,1.0
23,6.0,15365,,0.033328347,0.22834137,0.37939435,0.9456544000000001,1.955473098330241,0.0,1.0
24,13.0,16004,,0.032874953,0.24442886,0.42974555,0.9435375999999999,1.9812206572769953,0.0,1.0
25,8.0,16523,,0.03035685,0.24425344,0.42984655,0.9414568000000001,2.098265895953757,0.0,1.0
26,14.0,17244,,0.03083837,0.2471982,0.43311608,0.9392247999999999,1.91123439667129,0.0,1.0
27,21.0,18242,,0.032026168,0.24794024,0.42685407,0.9361288000000001,2.002004008016032,0.0,1.0
28,17.0,19360,,0.033219703,0.24623671,0.421703,0.9323199999999999,1.8577817531305902,0.0,1.0
29,9.0,20176,,0.030849583,0.2704601,0.45544803,0.9288424000000001,2.1495098039215685,0.0,1.0
30,4.0,20593,,0.031856447,0.3603901,0.5930215,0.9266176,2.2685851318944845,0.0,1.0
31,5.0,21126,,0.029393088,0.34898067,0.57297647,0.924904,2.225140712945591,0.0,1.0
32,12.0,21756,,0.031147188,0.3487988,0.57291067,0.9228160000000001,2.123809523809524,0.0,1.0
33,7.0,22146,,0.03175961,0.360056,0.588816,0.9209799999999998,2.264102564102564,0.0,1.0
34,9.0,22646,,0.026865087,0.33840173,0.5532449,0.9193744000000001,1.894,0.0,1.0
35,3.0,23168,,0.028640186,0.34774646,0.56084025,0.9175384,2.264367816091954,0.0,1.0
36,9.0,23989,,0.02854687,0.33924273,0.5423573,0.9151192000000001,2.3349573690621193,0.0,1.0
37,11.0,24701,,0.027987858,0.34035802,0.5516654,0.9123543999999999,2.252808988764045,0.0,1.0
38,17.0,25624,,0.025945978,0.41926733,0.653975,0.9094168,1.7562296858071507,0.0,1.0
39,7.0,26010,,0.025350425,0.4559935,0.6994025,0.9070624,2.2642487046632125,0.0,1.0
40,9.0,26753,,0.026047762,0.4595602,0.6993326,0.9050248,2.1413189771197847,0.0,1.0
41,10.0,27451,,0.024421353,0.46024314,0.70057356,0.9024327999999998,1.829512893982808,0.0,1.0
42,9.0,28240,,0.024257945,0.4564886,0.69546926,0.8997616,2.217997465145754,0.0,1.0
43,5.0,28666,,0.024252493,0.45996436,0.6971454,0.8975728,2.255868544600939,0.0,1.0
44,9.0,29396,,0.02484133,0.45821103,0.6934227,0.8954920000000002,2.165753424657534,0.0,1.0
45,10.0,30157,,0.025403146,0.47597513,0.71184134,0.8928064000000001,1.9342969776609724,0.0,1.0
46,7.0,30627,,0.025443679,0.53988963,0.7931529,0.8905888,2.348936170212766,0.0,1.0
47,9.0,31220,,0.023392398,0.5453559,0.7986206,0.8886807999999999,2.1989881956155144,0.0,1.0
48,10.0,31813,,0.024268143,0.53331155,0.7830997,0.8865424,2.2006745362563236,0.0,1.0
49,9.0,32757,,0.024510449,0.5422645,0.7898817,0.8837704,2.2415254237288136,0.0,1.0
50,9.0,33673,,0.023200281,0.53678393,0.7837078,0.8804224,2.5436681222707422,0.0,1.0
51,6.0,34195,,0.02224745,0.5381904,0.7829049,0.8778376,2.057471264367816,0.0,1.0
52,11.0,34676,,0.02277607,0.53982085,0.7873357,0.8760376,1.9875259875259876,0.0,1.0
53,6.0,35102,,0.023166876,0.5632644,0.81507593,0.8744032,2.2417840375586855,0.0,1.0
54,4.0,35656,,0.02316116,0.6175555,0.87833697,0.8726391999999998,2.1570397111913358,0.0,1.0
55,17.0,36487,,0.022044135,0.61414623,0.8710323,0.8701480000000001,2.0914560770156436,0.0,1.0
56,9.0,37290,,0.022919048,0.61084974,0.86518687,0.8672032,2.019925280199253,0.0,1.0
57,11.0,38246,,0.02318114,0.6112823,0.87113386,0.8640352,2.6914225941422596,0.0,1.0
58,6.0,38859,,0.023011211,0.6223494,0.8814839,0.8612128000000002,2.278955954323002,0.0,1.0
59,5.0,39467,,0.022370264,0.60611564,0.8590656,0.8590168,2.1217105263157894,0.0,1.0
60,14.0,40411,,0.020812212,0.65675324,0.9203295,0.8562232,2.204449152542373,0.0,1.0
61,14.0,41865,,0.021149687,0.708225,0.98409647,0.8519032000000002,2.099037138927098,0.0,1.0
62,12.0,42995,,0.023529325,0.72509736,1.005246,0.847252,2.517699115044248,0.0,1.0
63,6.0,43705,,0.024181698,0.72677684,1.0042627,0.8439400000000001,2.2619718309859156,0.0,1.0
64,18.0,45100,,0.022768725,0.7336366,1.0142106,0.8401528000000001,2.4415770609318996,0.0,1.0
65,22.0,46104,,0.023805683,0.8430251,1.1484215,0.83584,1.5298804780876494,0.0,1.0
66,9.0,46830,,0.022378063,0.8460108,1.1504867,0.8327224000000001,2.103305785123967,0.0,1.0
67,9.0,47511,,0.02165769,0.83764577,1.1327482,0.8301879999999999,1.935389133627019,0.0,1.0
68,6.0,48127,,0.023381181,0.8330053,1.1291478,0.8278552,2.0487012987012987,0.0,1.0
69,13.0,48876,,0.023001973,0.8421962,1.1368167,0.8253999999999999,2.5180240320427236,0.0,1.0
70,12.0,49604,,0.022314187,0.8316407,1.1266302,0.8227432,2.1346153846153846,0.0,1.0
71,17.0,50880,,0.02180785,0.9218037,1.2347535,0.8191360000000001,1.9106583072100314,0.0,1.0
72,8.0,51522,,0.02185181,0.9706623,1.2941248,0.81568,1.9548286604361371,0.0,1.0
73,7.0,52208,,0.020656737,0.9636543,1.2832474,0.8132896000000001,1.9854227405247813,0.0,1.0
74,10.0,52957,,0.021319719,0.97279924,1.2954718,0.8107048,1.8945260347129507,0.0,1.0
75,5.0,53448,,0.02377518,0.94965756,1.2655237,0.8084728,2.0529531568228108,0.0,1.0
76,14.0,54666,,0.021862237,0.95787215,1.2731935,0.8053984,2.1395730706075535,0.0,1.0
77,12.0,55634,,0.022507077,1.0233142,1.3538061,0.8014600000000001,1.7004132231404958,0.0,1.0
78,6.0,56284,,0.021488866,1.0511047,1.3873128,0.7985512,2.16,0.0,1.0
79,23.0,57398,,0.021719806,1.0554522,1.3907225,0.795376,1.5718132854578097,0.0,1.0
80,18.0,58415,,0.021517178,1.0545844,1.3874838,0.7915384,1.8033431661750245,0.0,1.0
81,7.0,58933,,0.022719974,1.0691029,1.4081115,0.7887736000000001,2.0733590733590734,0.0,1.0
82,16.0,60177,,0.021089934,1.070775,1.4090745,0.7855984000000001,1.5321543408360128,0.0,1.0
83,12.0,61117,,0.02355785,1.1296211,1.4819876,0.7816672000000001,1.7797872340425531,0.0,1.0
84,5.0,61467,,0.020709794,1.1151984,1.459156,0.7793488,2.0485714285714285,0.0,1.0
85,9.0,62064,,0.023728339,1.105039,1.4439138,0.7776495999999999,2.2763819095477387,0.0,1.0
86,14.0,62852,,0.022332279,1.1214862,1.4655944,0.7751584000000001,1.6598984771573604,0.0,1.0
87,9.0,63567,,0.021973435,1.1063584,1.4470525,0.7724511999999999,2.13006993006993,0.0,1.0
88,8.0,64086,,0.02334788,1.1281356,1.4717115,0.7702264000000001,2.0481695568400773,0.0,1.0
89,12.0,64763,,0.021383258,1.1197817,1.4634244,0.7680736,2.4254062038404727,0.0,1.0
90,10.0,65409,,0.021065056,1.1563864,1.5098351,0.7656904,2.0789473684210527,0.0,1.0
91,9.0,66064,,0.021196254,1.1611336,1.5119909,0.7633504,2.1083969465648855,0.0,1.0
92,4.0,66412,,0.025114918,1.1553425,1.5036212,0.7615504,2.2385057471264367,0.0,1.0
93,7.0,67080,,0.020433502,1.1399779,1.482687,0.7597216,2.318862275449102,0.0,1.0
94,16.0,68058,,0.020964207,1.1449393,1.4908797,0.7567552,2.2484662576687118,0.0,1.0
95,17.0,69027,,0.02209572,1.1528635,1.4993356,0.7532488,1.888544891640867,0.0,1.0
96,7.0,69562,,0.022217253,1.139695,1.4798812,0.7505416,2.2186915887850467,0.0,1.0
97,6.0,69969,,0.021045629,1.1367152,1.4786388,0.7488424,2.2383292383292384,0.0,1.0
98,4.0,70384,,0.02045516,1.2073094,1.5650362,0.7473664000000001,2.274698795180723,0.0,1.0
99,17.0,71385,,0.020277224,1.2065021,1.5613489,0.7448176,2.212787212787213,0.0,1.0
100,17.0,72140,,0.019768625,1.1997806,1.5506728,0.7416568,2.32317880794702,0.0,1.0
101,15.0,73221,,0.02239994,1.1972134,1.5460032,0.738352,1.942645698427382,0.0,1.0
102,2.0,73590,,0.020698084,1.195784,1.5477209,0.7357384,2.1084010840108403,0.0,1.0
103,9.0,74204,,0.0202891,1.2110782,1.5649698,0.7339744,2.218241042345277,0.0,1.0
104,16.0,75125,,0.019441117,1.2160418,1.5701272,0.7312096,1.514657980456026,0.0,1.0
105,12.0,76258,,0.021190092,1.2800372,1.6490405,0.7275088,1.879082082965578,0.0,1.0
106,17.0,77274,,0.021406744,1.2929233,1.661186,0.7236424,1.875,0.0,1.0
107,14.0,78122,,0.02157672,1.3063251,1.6787101,0.7202872,2.525943396226415,0.0,1.0
108,14.0,78951,,0.020494808,1.2978745,1.6683505,0.7172704,1.5681544028950543,0.0,1.0
109,7.0,79540,,0.019342905,1.3007988,1.6679758,0.7147216000000001,2.3463497453310698,0.0,1.0
110,8.0,80166,,0.021366674,1.3430773,1.7209418,0.7125328000000002,2.3003194888178915,0.0,1.0
111,12.0,80853,,0.018571246,1.4137442,1.8083947,0.710164,2.2256186317321687,0.0,1.0
112,10.0,81399,,0.018297145,1.405369,1.7938621,0.7079464,2.02014652014652,0.0,1.0
113,22.0,82561,,0.021568049,1.4141084,1.8034716,0.7048719999999999,2.093803786574871,0.0,1.0
114,20.0,83513,,0.021060973,1.4191521,1.8115319,0.7010631999999999,2.1785714285714284,0.0,1.0
115,5.0,84016,,0.022118667,1.4178517,1.8103577,0.6984496,2.1351888667992047,0.0,1.0
116,9.0,84933,,0.020660177,1.4206771,1.8138577,0.6958936,2.2246455834242096,0.0,1.0
117,4.0,85333,,0.018906174,1.492209,1.9001999,0.6935176000000002,1.9425,0.0,1.0
118,9.0,85965,,0.021247678,1.4867628,1.8901922,0.6916599999999999,1.9620253164556962,0.0,1.0
119,7.0,86567,,0.01974029,1.4887487,1.8928816,0.6894424,1.9767441860465116,0.0,1.0
120,18.0,87556,,0.019542605,1.4883379,1.8924625,0.6865840000000001,1.8958543983822043,0.0,1.0
121,3.0,88000,,0.018190261,1.4846605,1.886725,0.6840064000000001,2.2387387387387387,0.0,1.0
122,14.0,89413,,0.018584896,1.4888916,1.8907018,0.6806584,1.5385704175513093,0.0,1.0
123,9.0,90237,,0.018775698,1.5108006,1.9192755,0.6766264,1.8652912621359223,0.0,1.0
124,20.0,91253,,0.021601608,1.5177101,1.9235086,0.6733144,1.9488188976377954,0.0,1.0
125,11.0,91942,,0.020673504,1.5280576,1.9395621,0.6702471999999999,2.613933236574746,0.0,1.0
126,15.0,92756,,0.019245839,1.5165213,1.9234331,0.6675471999999999,1.597051597051597,0.0,1.0
127,7.0,93335,,0.020172166,1.5136286,1.9211304,0.6650415999999999,2.1018998272884284,0.0,1.0
128,16.0,94185,,0.018872827,1.5000484,1.9042261,0.6624639999999999,2.467058823529412,0.0,1.0
129,7.0,94586,,0.020773735,1.5015069,1.9042271,0.6602104,2.13715710723192,0.0,1.0
130,11.0,95438,,0.019052591,1.5147253,1.9172131,0.6579568,2.427230046948357,0.0,1.0
131,10.0,96165,,0.020244908,1.532991,1.9369718,0.6551128,1.9724896836313617,0.0,1.0
132,20.0,97331,,0.020012226,1.5285578,1.933929,0.6517072,1.8310463121783878,0.0,1.0
133,5.0,97677,,0.018332124,1.5593537,1.9740925,0.6489856000000002,2.1820809248554913,0.0,1.0
134,10.0,98455,,0.02256063,1.5445725,1.955614,0.6469623999999999,2.223650385604113,0.0,1.0
135,12.0,99397,,0.020857127,1.5438949,1.9531738,0.6438664000000001,2.3853503184713376,0.0,1.0
136,10.0,100296,,0.020004336,1.5834278,1.9996008,0.6405544,1.8375973303670745,0.0,1.0
137,9.0,100750,,0.021700205,1.6294955,2.053961,0.6381207999999999,2.1651982378854626,0.0,1.0
138,17.0,101643,,0.018140975,1.6086535,2.0275733,0.6356944000000001,2.241881298992161,0.0,1.0
139,5.0,102148,,0.019577185,1.6191237,2.0409665,0.6331816,2.0792079207920793,0.0,1.0
140,17.0,103022,,0.018285276,1.6237907,2.0482028,0.6306976,1.8867276887871853,0.0,1.0
141,15.0,104008,,0.019360108,1.6275457,2.0516248,0.6273496,2.059837728194726,0.0,1.0
142,9.0,104633,,0.021525264,1.6199247,2.0392814,0.6244479999999999,2.3472,0.0,1.0
143,7.0,105241,,0.015749088,1.6135523,2.0286884,0.6222232,1.649671052631579,0.0,1.0
144,8.0,105747,,0.019612063,1.6537913,2.083412,0.6202216000000002,2.039525691699605,0.0,1.0
145,5.0,106333,,0.018863358,1.6490124,2.0757596,0.618256,2.2542662116040955,0.0,1.0
146,8.0,107068,,0.01842844,1.6408705,2.0649173,0.61588,1.853061224489796,0.0,1.0
147,9.0,107730,,0.016269375,1.6397109,2.063202,0.6133672,1.744712990936556,0.0,1.0
148,3.0,108163,,0.018061107,1.6361142,2.0532033,0.6113943999999999,2.224018475750577,0.0,1.0
149,11.0,108750,,0.018086135,1.6188614,2.0320187,0.6095584000000001,2.1822827938671208,0.0,1.0
150,10.0,109476,,0.016622297,1.6117237,2.023723,0.6071968,1.8099173553719008,0.0,1.0
151,15.0,110506,,0.018903123,1.6300555,2.047401,0.6040360000000001,2.2145631067961165,0.0,1.0
152,6.0,111227,,0.01666183,1.6489012,2.0719454,0.6008823999999999,1.8959778085991679,0.0,1.0
153,11.0,111883,,0.020395687,1.6214135,2.0356658,0.5984056000000001,2.2972560975609757,0.0,1.0
154,8.0,112546,,0.017938128,1.6382035,2.0558078,0.5960296,2.1749622926093513,0.0,1.0
155,7.0,113046,,0.020454792,1.6092213,2.021809,0.5939344000000001,2.062,0.0,1.0
156,5.0,113529,,0.019125063,1.6410983,2.067014,0.5921632,2.3643892339544514,0.0,1.0
157,17.0,114298,,0.01777728,1.6045312,2.014405,0.5899096,1.622886866059818,0.0,1.0
158,4.0,114688,,0.018505689,1.6338398,2.0487354,0.5878288,2.230769230769231,0.0,1.0
159,6.0,115204,,0.020212837,1.6376961,2.0566018,0.5862016,2.011627906976744,0.0,1.0
160,9.0,115845,,0.015974514,1.6444732,2.0603883,0.5841135999999999,2.1482059282371293,0.0,1.0
161,13.0,116772,,0.017754676,1.6433731,2.060166,0.5812912000000001,2.1240560949298812,0.0,1.0
162,9.0,117422,,0.018581046,1.6504588,2.0702999,0.5784544,2.4123076923076923,0.0,1.0
163,6.0,118082,,0.018306512,1.6562923,2.0784369,0.5760928,1.7924242424242425,0.0,1.0
164,6.0,118732,,0.016700441,1.6482856,2.0656304,0.5737384,2.223076923076923,0.0,1.0
165,15.0,119453,,0.017857691,1.6402482,2.05491,0.5712688,2.1276005547850207,0.0,1.0
166,11.0,120165,,0.018953335,1.6528492,2.0727687,0.568684,2.1376404494382024,0.0,1.0
167,12.0,121027,,0.018111622,1.7008144,2.1278508,0.5658544,2.1821345707656614,0.0,1.0
168,6.0,121594,,0.018030792,1.7127923,2.1427858,0.563284,1.8236331569664903,0.0,1.0
169,15.0,122512,,0.018113486,1.6843578,2.106518,0.5606128,1.7962962962962963,0.0,1.0
170,11.0,123461,,0.019193752,1.690969,2.1163993,0.5572503999999999,2.188619599578504,0.0,1.0
171,14.0,124310,,0.018619545,1.7109162,2.1387804,0.5540104,2.0424028268551235,0.0,1.0
172,5.0,124708,,0.016378475,1.7011423,2.130938,0.5517712,2.092964824120603,0.0,1.0
173,6.0,125223,,0.02000039,1.7070191,2.1339831,0.5501296,2.0970873786407767,0.0,1.0
174,6.0,125707,,0.016695907,1.7357764,2.1682577,0.5483296,1.9814049586776858,0.0,1.0
175,20.0,126842,,0.017352372,1.7143761,2.1425917,0.5454136,2.4035242290748897,0.0,1.0
176,12.0,127591,,0.019026969,1.7148503,2.143131,0.5420224,2.348464619492657,0.0,1.0
177,5.0,128106,,0.016452184,1.7178681,2.1469712,0.5397472000000001,2.207766990291262,0.0,1.0
178,2.0,128596,,0.016720403,1.70717,2.1320066,0.53794,2.2387755102040816,0.0,1.0
179,5.0,129137,,0.018007204,1.7244577,2.1524959,0.5360824000000001,2.22365988909427,0.0,1.0
180,10.0,129744,,0.017374737,1.7016331,2.1249583,0.5340159999999999,2.054365733113674,0.0,1.0
181,9.0,130593,,0.015820142,1.7211275,2.1463466,0.5313952000000001,2.3886925795053005,0.0,1.0
182,12.0,131370,,0.017610867,1.7535661,2.1897662,0.5284648000000001,2.111969111969112,0.0,1.0
183,13.0,132349,,0.015847951,1.7433012,2.1767962,0.525304,2.2134831460674156,0.0,1.0
184,10.0,133120,,0.016970396,1.7276745,2.1571705,0.5221576,2.173800259403372,0.0,1.0
185,9.0,133778,,0.018184373,1.7252023,2.1492302,0.5195872,2.0379939209726445,0.0,1.0
186,13.0,134552,,0.017178582,1.7020137,2.1207633,0.5170096,2.1511627906976742,0.0,1.0
187,24.0,135541,,0.016152564,1.7377881,2.164261,0.5138343999999999,1.4883720930232558,0.0,1.0
