episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max
1,6.0,142,,,,,,2.0492957746478875,0.0,1.0
2,8.0,302,,,,,,2.4875,0.0,1.0
3,10.0,475,,,,,,2.0346820809248554,0.0,1.0
4,3.0,567,,,,,,2.0760869565217392,0.0,1.0
5,4.0,664,,,,,,2.216494845360825,0.0,1.0
6,10.0,862,,,,,,2.292929292929293,0.0,1.0
7,6.0,953,,,,,,2.098901098901099,0.0,1.0
8,3.0,1078,,,,,,1.912,0.0,1.0
9,13.0,1297,,,,,,2.589041095890411,0.0,1.0
10,2.0,1419,,,,,,2.139344262295082,0.0,1.0
11,3.0,1510,,,,,,2.021978021978022,0.0,1.0
12,3.0,1610,,,,,,2.23,0.0,1.0
13,4.0,1710,,,,,,2.13,0.0,1.0
14,9.0,1850,,,,,,1.957142857142857,0.0,1.0
15,6.0,1965,,,,,,1.991304347826087,0.0,1.0
16,12.0,2213,,,,,,2.0080645161290325,0.0,1.0
17,12.0,2395,,,,,,1.7142857142857142,0.0,1.0
18,5.0,2534,,,,,,2.1223021582733814,0.0,1.0
19,13.0,2719,,,,,,2.2378378378378376,0.0,1.0
20,4.0,2832,,,,,,1.9292035398230087,0.0,1.0
21,15.0,3115,,,,,,2.1696113074204946,0.0,1.0
22,0.0,3260,,,,,,2.2758620689655173,0.0,0.0
23,15.0,3494,,,,,,2.1880341880341883,0.0,1.0
24,10.0,3654,,,,,,1.775,0.0,1.0
25,8.0,3781,,,,,,2.0393700787401574,0.0,1.0
26,11.0,3966,,,,,,1.6756756756756757,0.0,1.0
27,6.0,4069,,,,,,1.9029126213592233,0.0,1.0
28,5.0,4178,,,,,,1.81651376146789,0.0,1.0
29,5.0,4285,,,,,,2.308411214953271,0.0,1.0
30,3.0,4433,,,,,,2.0675675675675675,0.0,1.0
31,10.0,4631,,,,,,1.9595959595959596,0.0,1.0
32,8.0,4778,,,,,,2.183673469387755,0.0,1.0
33,12.0,5019,,,,,,2.315352697095436,0.0,1.0
34,2.0,5104,,,,,,2.0470588235294116,0.0,1.0
35,13.0,5275,,,,,,2.526315789473684,0.0,1.0
36,2.0,5395,,,,,,2.2666666666666666,0.0,1.0
37,3.0,5565,,,,,,2.0,0.0,1.0
38,15.0,5755,,,,,,2.4842105263157896,0.0,1.0
39,12.0,5956,,,,,,1.9203980099502487,0.0,1.0
40,4.0,6050,,,,,,2.074468085106383,0.0,1.0
41,12.0,6223,,,,,,2.3641618497109826,0.0,1.0
42,9.0,6388,,,,,,2.090909090909091,0.0,1.0
43,9.0,6557,,,,,,1.8757396449704142,0.0,1.0
44,16.0,6751,,,,,,2.2268041237113403,0.0,1.0
45,7.0,6947,,,,,,1.9591836734693877,0.0,1.0
46,5.0,7068,,,,,,1.7355371900826446,0.0,1.0
47,14.0,7249,,,,,,1.850828729281768,0.0,1.0
48,10.0,7385,,,,,,1.9191176470588236,0.0,1.0
49,14.0,7653,,,,,,1.8582089552238805,0.0,1.0
50,12.0,7884,,,,,,1.6493506493506493,0.0,1.0
51,12.0,8047,,,,,,2.460122699386503,0.0,1.0
